client_id,group,trap_subtype,is_money_laundering,expected_risk_score,expected_risk_min,expected_risk_max,rationale
C7630,control_guilty,,True,high,70,100,Confirmed laundering (isMoneyLaundering=1). Shell company entity with adverse media.
C2742,control_guilty,,True,high,70,100,Confirmed laundering (isMoneyLaundering=1). Shell company entity with adverse media.
C4799,control_guilty,,True,high,70,100,Confirmed laundering (isMoneyLaundering=1). Shell company entity with adverse media.
C5211,control_guilty,,True,high,70,100,Confirmed laundering (isMoneyLaundering=1). Shell company entity with adverse media.
C2174,control_guilty,,True,high,70,100,Confirmed laundering (isMoneyLaundering=1). Shell company entity with adverse media.
C7693,control_guilty,,True,high,70,100,Confirmed laundering (isMoneyLaundering=1). Shell company entity with adverse media.
C8245,control_guilty,,True,high,70,100,Confirmed laundering (isMoneyLaundering=1). Shell company entity with adverse media.
C2646,control_guilty,,True,high,70,100,Confirmed laundering (isMoneyLaundering=1). Shell company entity with adverse media.
C5727,control_innocent,,False,low,0,30,No laundering flag. Low-volume individual with neutral/positive media only.
C4912,control_innocent,,False,low,0,30,No laundering flag. Low-volume individual with neutral/positive media only.
C8136,control_innocent,,False,low,0,30,No laundering flag. Low-volume individual with neutral/positive media only.
C572,control_innocent,,False,low,0,30,No laundering flag. Low-volume individual with neutral/positive media only.
C4018,control_innocent,,False,low,0,30,No laundering flag. Low-volume individual with neutral/positive media only.
C9143,control_innocent,,False,low,0,30,No laundering flag. Low-volume individual with neutral/positive media only.
C4591,control_innocent,,False,low,0,30,No laundering flag. Low-volume individual with neutral/positive media only.
C8593,control_innocent,,False,low,0,30,No laundering flag. Low-volume individual with neutral/positive media only.
C2804,fp_trap,charity,False,low,0,30,"FALSE POSITIVE TRAP. High fan-in (many senders) mimics collection hub, but entity is a registered NGO receiving legitimate donations. Agent must find alibi in knowledge base and downgrade risk."
C6641,fp_trap,charity,False,low,0,30,"FALSE POSITIVE TRAP. High fan-in (many senders) mimics collection hub, but entity is a registered NGO receiving legitimate donations. Agent must find alibi in knowledge base and downgrade risk."
C5757,fp_trap,charity,False,low,0,30,"FALSE POSITIVE TRAP. High fan-in (many senders) mimics collection hub, but entity is a registered NGO receiving legitimate donations. Agent must find alibi in knowledge base and downgrade risk."
C9262,fp_trap,charity,False,low,0,30,"FALSE POSITIVE TRAP. High fan-in (many senders) mimics collection hub, but entity is a registered NGO receiving legitimate donations. Agent must find alibi in knowledge base and downgrade risk."
C774,fp_trap,charity,False,low,0,30,"FALSE POSITIVE TRAP. High fan-in (many senders) mimics collection hub, but entity is a registered NGO receiving legitimate donations. Agent must find alibi in knowledge base and downgrade risk."
C459,fp_trap,charity,False,low,0,30,"FALSE POSITIVE TRAP. High fan-in (many senders) mimics collection hub, but entity is a registered NGO receiving legitimate donations. Agent must find alibi in knowledge base and downgrade risk."
C9261,fp_trap,charity,False,low,0,30,"FALSE POSITIVE TRAP. High fan-in (many senders) mimics collection hub, but entity is a registered NGO receiving legitimate donations. Agent must find alibi in knowledge base and downgrade risk."
C896,fp_trap,charity,False,low,0,30,"FALSE POSITIVE TRAP. High fan-in (many senders) mimics collection hub, but entity is a registered NGO receiving legitimate donations. Agent must find alibi in knowledge base and downgrade risk."
C5170,fp_trap,charity,False,low,0,30,"FALSE POSITIVE TRAP. High fan-in (many senders) mimics collection hub, but entity is a registered NGO receiving legitimate donations. Agent must find alibi in knowledge base and downgrade risk."
C8528,fp_trap,charity,False,low,0,30,"FALSE POSITIVE TRAP. High fan-in (many senders) mimics collection hub, but entity is a registered NGO receiving legitimate donations. Agent must find alibi in knowledge base and downgrade risk."
C1075,fp_trap,charity,False,low,0,30,"FALSE POSITIVE TRAP. High fan-in (many senders) mimics collection hub, but entity is a registered NGO receiving legitimate donations. Agent must find alibi in knowledge base and downgrade risk."
C6351,fp_trap,charity,False,low,0,30,"FALSE POSITIVE TRAP. High fan-in (many senders) mimics collection hub, but entity is a registered NGO receiving legitimate donations. Agent must find alibi in knowledge base and downgrade risk."
C7563,fp_trap,payroll,False,low,0,30,"FALSE POSITIVE TRAP. High fan-out (many recipients) mimics layering, but entity runs legitimate payroll/vendor payments. Agent must find alibi in knowledge base and downgrade risk."
C5960,fp_trap,payroll,False,low,0,30,"FALSE POSITIVE TRAP. High fan-out (many recipients) mimics layering, but entity runs legitimate payroll/vendor payments. Agent must find alibi in knowledge base and downgrade risk."
C9274,fp_trap,payroll,False,low,0,30,"FALSE POSITIVE TRAP. High fan-out (many recipients) mimics layering, but entity runs legitimate payroll/vendor payments. Agent must find alibi in knowledge base and downgrade risk."
C4441,fp_trap,payroll,False,low,0,30,"FALSE POSITIVE TRAP. High fan-out (many recipients) mimics layering, but entity runs legitimate payroll/vendor payments. Agent must find alibi in knowledge base and downgrade risk."
C4809,fp_trap,payroll,False,low,0,30,"FALSE POSITIVE TRAP. High fan-out (many recipients) mimics layering, but entity runs legitimate payroll/vendor payments. Agent must find alibi in knowledge base and downgrade risk."
C2733,fp_trap,payroll,False,low,0,30,"FALSE POSITIVE TRAP. High fan-out (many recipients) mimics layering, but entity runs legitimate payroll/vendor payments. Agent must find alibi in knowledge base and downgrade risk."
C1922,fp_trap,payroll,False,low,0,30,"FALSE POSITIVE TRAP. High fan-out (many recipients) mimics layering, but entity runs legitimate payroll/vendor payments. Agent must find alibi in knowledge base and downgrade risk."
C2682,fp_trap,payroll,False,low,0,30,"FALSE POSITIVE TRAP. High fan-out (many recipients) mimics layering, but entity runs legitimate payroll/vendor payments. Agent must find alibi in knowledge base and downgrade risk."
C5080,fp_trap,payroll,False,low,0,30,"FALSE POSITIVE TRAP. High fan-out (many recipients) mimics layering, but entity runs legitimate payroll/vendor payments. Agent must find alibi in knowledge base and downgrade risk."
C6626,fp_trap,payroll,False,low,0,30,"FALSE POSITIVE TRAP. High fan-out (many recipients) mimics layering, but entity runs legitimate payroll/vendor payments. Agent must find alibi in knowledge base and downgrade risk."
C9451,fp_trap,payroll,False,low,0,30,"FALSE POSITIVE TRAP. High fan-out (many recipients) mimics layering, but entity runs legitimate payroll/vendor payments. Agent must find alibi in knowledge base and downgrade risk."
C2171,fp_trap,payroll,False,low,0,30,"FALSE POSITIVE TRAP. High fan-out (many recipients) mimics layering, but entity runs legitimate payroll/vendor payments. Agent must find alibi in knowledge base and downgrade risk."
C7720,fp_trap,high_roller,False,low,0,30,"FALSE POSITIVE TRAP. Massive transaction volume mimics laundering throughput, but entity is a legitimate high-turnover business. Agent must find alibi in knowledge base and downgrade risk."
C28,fp_trap,high_roller,False,low,0,30,"FALSE POSITIVE TRAP. Massive transaction volume mimics laundering throughput, but entity is a legitimate high-turnover business. Agent must find alibi in knowledge base and downgrade risk."
C7906,fp_trap,high_roller,False,low,0,30,"FALSE POSITIVE TRAP. Massive transaction volume mimics laundering throughput, but entity is a legitimate high-turnover business. Agent must find alibi in knowledge base and downgrade risk."
C5452,fp_trap,high_roller,False,low,0,30,"FALSE POSITIVE TRAP. Massive transaction volume mimics laundering throughput, but entity is a legitimate high-turnover business. Agent must find alibi in knowledge base and downgrade risk."
C9814,fp_trap,high_roller,False,low,0,30,"FALSE POSITIVE TRAP. Massive transaction volume mimics laundering throughput, but entity is a legitimate high-turnover business. Agent must find alibi in knowledge base and downgrade risk."
C4979,fp_trap,high_roller,False,low,0,30,"FALSE POSITIVE TRAP. Massive transaction volume mimics laundering throughput, but entity is a legitimate high-turnover business. Agent must find alibi in knowledge base and downgrade risk."
C2728,fp_trap,high_roller,False,low,0,30,"FALSE POSITIVE TRAP. Massive transaction volume mimics laundering throughput, but entity is a legitimate high-turnover business. Agent must find alibi in knowledge base and downgrade risk."
C717,fp_trap,high_roller,False,low,0,30,"FALSE POSITIVE TRAP. Massive transaction volume mimics laundering throughput, but entity is a legitimate high-turnover business. Agent must find alibi in knowledge base and downgrade risk."
C8369,fp_trap,high_roller,False,low,0,30,"FALSE POSITIVE TRAP. Massive transaction volume mimics laundering throughput, but entity is a legitimate high-turnover business. Agent must find alibi in knowledge base and downgrade risk."
C6684,fp_trap,high_roller,False,low,0,30,"FALSE POSITIVE TRAP. Massive transaction volume mimics laundering throughput, but entity is a legitimate high-turnover business. Agent must find alibi in knowledge base and downgrade risk."
C2311,fp_trap,high_roller,False,low,0,30,"FALSE POSITIVE TRAP. Massive transaction volume mimics laundering throughput, but entity is a legitimate high-turnover business. Agent must find alibi in knowledge base and downgrade risk."
C8255,fp_trap,high_roller,False,low,0,30,"FALSE POSITIVE TRAP. Massive transaction volume mimics laundering throughput, but entity is a legitimate high-turnover business. Agent must find alibi in knowledge base and downgrade risk."
C410,fp_trap,structurer,False,low,0,30,"FALSE POSITIVE TRAP. Consistently high avg txn amounts mimic structuring, but entity operates a cash-intensive business. Agent must find alibi in knowledge base and downgrade risk."
C1591,fp_trap,structurer,False,low,0,30,"FALSE POSITIVE TRAP. Consistently high avg txn amounts mimic structuring, but entity operates a cash-intensive business. Agent must find alibi in knowledge base and downgrade risk."
C7498,fp_trap,structurer,False,low,0,30,"FALSE POSITIVE TRAP. Consistently high avg txn amounts mimic structuring, but entity operates a cash-intensive business. Agent must find alibi in knowledge base and downgrade risk."
C8478,fp_trap,structurer,False,low,0,30,"FALSE POSITIVE TRAP. Consistently high avg txn amounts mimic structuring, but entity operates a cash-intensive business. Agent must find alibi in knowledge base and downgrade risk."
C313,fp_trap,structurer,False,low,0,30,"FALSE POSITIVE TRAP. Consistently high avg txn amounts mimic structuring, but entity operates a cash-intensive business. Agent must find alibi in knowledge base and downgrade risk."
C9930,fp_trap,structurer,False,low,0,30,"FALSE POSITIVE TRAP. Consistently high avg txn amounts mimic structuring, but entity operates a cash-intensive business. Agent must find alibi in knowledge base and downgrade risk."
C8660,fp_trap,structurer,False,low,0,30,"FALSE POSITIVE TRAP. Consistently high avg txn amounts mimic structuring, but entity operates a cash-intensive business. Agent must find alibi in knowledge base and downgrade risk."
C2587,fp_trap,structurer,False,low,0,30,"FALSE POSITIVE TRAP. Consistently high avg txn amounts mimic structuring, but entity operates a cash-intensive business. Agent must find alibi in knowledge base and downgrade risk."
C8072,fp_trap,structurer,False,low,0,30,"FALSE POSITIVE TRAP. Consistently high avg txn amounts mimic structuring, but entity operates a cash-intensive business. Agent must find alibi in knowledge base and downgrade risk."
C8605,fp_trap,structurer,False,low,0,30,"FALSE POSITIVE TRAP. Consistently high avg txn amounts mimic structuring, but entity operates a cash-intensive business. Agent must find alibi in knowledge base and downgrade risk."
C9966,fp_trap,structurer,False,low,0,30,"FALSE POSITIVE TRAP. Consistently high avg txn amounts mimic structuring, but entity operates a cash-intensive business. Agent must find alibi in knowledge base and downgrade risk."
C9266,fp_trap,structurer,False,low,0,30,"FALSE POSITIVE TRAP. Consistently high avg txn amounts mimic structuring, but entity operates a cash-intensive business. Agent must find alibi in knowledge base and downgrade risk."
C702,fn_trap,sleeper,True,high,70,100,"FALSE NEGATIVE TRAP. Transaction data is unremarkable (low volume, no graph anomalies). The ONLY signal is adverse intelligence in the knowledge base. Agent must override clean quantitative data with qualitative evidence to correctly flag as high risk."
C5329,fn_trap,sleeper,True,high,70,100,"FALSE NEGATIVE TRAP. Transaction data is unremarkable (low volume, no graph anomalies). The ONLY signal is adverse intelligence in the knowledge base. Agent must override clean quantitative data with qualitative evidence to correctly flag as high risk."
C7022,fn_trap,sleeper,True,high,70,100,"FALSE NEGATIVE TRAP. Transaction data is unremarkable (low volume, no graph anomalies). The ONLY signal is adverse intelligence in the knowledge base. Agent must override clean quantitative data with qualitative evidence to correctly flag as high risk."
C6004,fn_trap,sleeper,True,high,70,100,"FALSE NEGATIVE TRAP. Transaction data is unremarkable (low volume, no graph anomalies). The ONLY signal is adverse intelligence in the knowledge base. Agent must override clean quantitative data with qualitative evidence to correctly flag as high risk."
C1924,fn_trap,sleeper,True,high,70,100,"FALSE NEGATIVE TRAP. Transaction data is unremarkable (low volume, no graph anomalies). The ONLY signal is adverse intelligence in the knowledge base. Agent must override clean quantitative data with qualitative evidence to correctly flag as high risk."
C8039,fn_trap,sleeper,True,high,70,100,"FALSE NEGATIVE TRAP. Transaction data is unremarkable (low volume, no graph anomalies). The ONLY signal is adverse intelligence in the knowledge base. Agent must override clean quantitative data with qualitative evidence to correctly flag as high risk."
C4155,fn_trap,sleeper,True,high,70,100,"FALSE NEGATIVE TRAP. Transaction data is unremarkable (low volume, no graph anomalies). The ONLY signal is adverse intelligence in the knowledge base. Agent must override clean quantitative data with qualitative evidence to correctly flag as high risk."
C9771,fn_trap,sleeper,True,high,70,100,"FALSE NEGATIVE TRAP. Transaction data is unremarkable (low volume, no graph anomalies). The ONLY signal is adverse intelligence in the knowledge base. Agent must override clean quantitative data with qualitative evidence to correctly flag as high risk."
C4437,fn_trap,sleeper,True,high,70,100,"FALSE NEGATIVE TRAP. Transaction data is unremarkable (low volume, no graph anomalies). The ONLY signal is adverse intelligence in the knowledge base. Agent must override clean quantitative data with qualitative evidence to correctly flag as high risk."
C7801,fn_trap,sleeper,True,high,70,100,"FALSE NEGATIVE TRAP. Transaction data is unremarkable (low volume, no graph anomalies). The ONLY signal is adverse intelligence in the knowledge base. Agent must override clean quantitative data with qualitative evidence to correctly flag as high risk."
C8011,fn_trap,sleeper,True,high,70,100,"FALSE NEGATIVE TRAP. Transaction data is unremarkable (low volume, no graph anomalies). The ONLY signal is adverse intelligence in the knowledge base. Agent must override clean quantitative data with qualitative evidence to correctly flag as high risk."
C2991,fn_trap,smurf,True,high,70,100,FALSE NEGATIVE TRAP. High fan-in with small amounts looks like normal peer-to-peer activity (student/gig worker). Knowledge base reveals mule-network involvement. Agent must synthesise topology pattern + qualitative trigger to correctly flag as high risk.
C4813,fn_trap,smurf,True,high,70,100,FALSE NEGATIVE TRAP. High fan-in with small amounts looks like normal peer-to-peer activity (student/gig worker). Knowledge base reveals mule-network involvement. Agent must synthesise topology pattern + qualitative trigger to correctly flag as high risk.
C8319,fn_trap,smurf,True,high,70,100,FALSE NEGATIVE TRAP. High fan-in with small amounts looks like normal peer-to-peer activity (student/gig worker). Knowledge base reveals mule-network involvement. Agent must synthesise topology pattern + qualitative trigger to correctly flag as high risk.
C9915,fn_trap,smurf,True,high,70,100,FALSE NEGATIVE TRAP. High fan-in with small amounts looks like normal peer-to-peer activity (student/gig worker). Knowledge base reveals mule-network involvement. Agent must synthesise topology pattern + qualitative trigger to correctly flag as high risk.
C8988,fn_trap,smurf,True,high,70,100,FALSE NEGATIVE TRAP. High fan-in with small amounts looks like normal peer-to-peer activity (student/gig worker). Knowledge base reveals mule-network involvement. Agent must synthesise topology pattern + qualitative trigger to correctly flag as high risk.
C7477,fn_trap,smurf,True,high,70,100,FALSE NEGATIVE TRAP. High fan-in with small amounts looks like normal peer-to-peer activity (student/gig worker). Knowledge base reveals mule-network involvement. Agent must synthesise topology pattern + qualitative trigger to correctly flag as high risk.
C8085,fn_trap,smurf,True,high,70,100,FALSE NEGATIVE TRAP. High fan-in with small amounts looks like normal peer-to-peer activity (student/gig worker). Knowledge base reveals mule-network involvement. Agent must synthesise topology pattern + qualitative trigger to correctly flag as high risk.
C9348,fn_trap,smurf,True,high,70,100,FALSE NEGATIVE TRAP. High fan-in with small amounts looks like normal peer-to-peer activity (student/gig worker). Knowledge base reveals mule-network involvement. Agent must synthesise topology pattern + qualitative trigger to correctly flag as high risk.
C691,fn_trap,smurf,True,high,70,100,FALSE NEGATIVE TRAP. High fan-in with small amounts looks like normal peer-to-peer activity (student/gig worker). Knowledge base reveals mule-network involvement. Agent must synthesise topology pattern + qualitative trigger to correctly flag as high risk.
C3437,fn_trap,smurf,True,high,70,100,FALSE NEGATIVE TRAP. High fan-in with small amounts looks like normal peer-to-peer activity (student/gig worker). Knowledge base reveals mule-network involvement. Agent must synthesise topology pattern + qualitative trigger to correctly flag as high risk.
C7375,fn_trap,smurf,True,high,70,100,FALSE NEGATIVE TRAP. High fan-in with small amounts looks like normal peer-to-peer activity (student/gig worker). Knowledge base reveals mule-network involvement. Agent must synthesise topology pattern + qualitative trigger to correctly flag as high risk.
